input,output
1,11011100010
0,00000000001
1,00000110011
1,00000110001
1,00000110001
1,00000110001
1,00000110001
0,00001000001
1,00011000001
1,00001010011
1,00001010001
1,00001010001
1,00001010001
1,00001010001
0,00001100000
1,00001110010
0,00010010000
1,00010010000
1,00010010000
1,00010010000
1,00010010000
0,00010100000
1,00010100000
1,00010100000
1,00010100000
1,00010100000
0,00010110001
1,00011010011
1,00011010010
0,00011100001
1,00011110001
1,00011110001
1,00011110001
0,00100000001
1,00100010010
0,00100100001
1,00100110001
1,00100110001
1,00100110001
0,00101000001
0,00101100011
1,00101100000
0,00101110000
1,00101110000
1,00101110000
1,00101110000
0,00100000001
1,00100010010
0,00100100001
1,00100110001
1,00100110001
0,00101000001
1,00101010001
0,00101100011
1,00101100000
1,00101100000
0,00101110000
1,00101110000
1,00101110000
0,00100000001
1,00100010010
0,00100100001
1,00100110001
0,00101000001
1,00101010001
1,00101010001
0,00101100011
1,00101100000
1,00101100000
1,00101100000
0,00101110000
1,00101110000
0,00100000001
1,00100010010
0,00100100001
0,00110000011
1,00110010000
0,00110010000
0,00110010000
0,00110010000
0,00110010000
0,00110010000
1,00110100000
1,00110100000
1,00110100000
0,00011010001
1,00011010010
0,00011100001
1,00011110001
1,00011110001
0,00100000001
0,00100000001
0,00100000001
0,00100000001
0,00100000001
1,00100010010
0,00100100001
1,00100110001
1,00100110001
1,00100110001
0,00101000001
0,00101100011
1,00101100000
0,00101110000
1,00101110000
1,00101110000
1,00101110000
0,00100000001
1,00100010010
0,00100100001
1,00100110001
1,00100110001
0,00101000001
1,00101010001
0,00101100011
1,00101100000
1,00101100000
0,00101110000
1,00101110000
1,00101110000
0,00100000001
1,00100010010
0,00100100001
1,00100110001
0,00101000001
1,00101010001
1,00101010001
0,00101100011
1,00101100000
1,00101100000
1,00101100000
0,00101110000
1,00101110000
0,00100000001
1,00100010010
0,00100100001
0,00110000011
1,00110010000
0,00110010000
0,00110010000
0,00110010000
0,00110010000
0,00110010000
0,00110010000
0,00110010000
0,00110010000
0,00110010000
1,00110100000
1,00110100000
0,00011010001
1,00011010010
0,00011100001
1,00011110001
0,00100000001
0,00100000001
0,00100000001
0,00100000001
0,00100000001
0,00100000001
0,00100000001
0,00100000001
0,00100000001
1,00100010010
0,00100100001
1,00100110001
1,00100110001
1,00100110001
0,00101000001
0,00101100011
1,00101100000
0,00101110000
1,00101110000
1,00101110000
1,00101110000
0,00100000001
1,00100010010
0,00100100001
1,00100110001
1,00100110001
0,00101000001
1,00101010001
0,00101100011
1,00101100000
1,00101100000
0,00101110000
1,00101110000
1,00101110000
0,00100000001
1,00100010010
0,00100100001
1,00100110001
0,00101000001
1,00101010001
1,00101010001
0,00101100011
1,00101100000
1,00101100000
1,00101100000
0,00101110000
1,00101110000
0,00100000001
1,00100010010
0,00100100001
0,00110000011
1,00110010000
0,00110010000
0,00110010000
0,00110010000
0,00110010000
0,00110010000
0,00110010000
0,00110010000
0,00110010000
0,00110010000
0,00110010000
0,00110010000
0,00110010000
0,00110010000
1,00110100000
0,00011010001
1,00011010010
0,00011100001
0,00110110001
0,00111000011
1,00110110001
0,00111000011
1,00110110001
0,00111000011
1,00110110001
0,00111000011
1,00110110001
0,00111000011
1,00110110001
0,00111000011
1,00110110001
0,00111000011
1,00110110001
0,00111000011
1,00110110001
0,00111000011
1,00110110001
0,00111000011
1,00110110001
0,00111000011
1,00110110001
0,00111000011
1,00110110001
1,00111010000
1,00111010000
1,00111010000
1,00111010000
1,00111010000
1,00111010000
1,00111010000
1,00111010000
1,00111010000
1,00111010000
1,00111010000
1,00111010000
1,00111010000
0,01000101001
